name,serial_number,model,status,capacity
Global Arrow,SU-A066,Airbus A380,Active,520
Global Bird,SU-A067,Embraer E190,Active,100
Global One,SU-A068,Boeing 787,Active,240
Global Express,SU-A069,Airbus A350,Grounded,300
Global Explorer,SU-A070,Bombardier CRJ900,Active,90
Titan Jet,SU-A071,Airbus A320,Active,180
Titan Wing,SU-A072,Boeing 777,Active,350
Titan Cruiser,SU-A073,Boeing 737,Standby,160
Titan Runner,SU-A074,Airbus A330,Active,280
Titan Spirit,SU-A075,Boeing 747,Active,410
Titan Arrow,SU-A076,Airbus A380,Active,520
Titan Bird,SU-A077,Embraer E190,Maintenance,100
Titan One,SU-A078,Boeing 787,Active,240
Titan Express,SU-A079,Airbus A350,Active,300
Titan Explorer,SU-A080,Bombardier CRJ900,Active,90
Falcon Jet,SU-A081,Airbus A320,Active,180
Falcon Wing,SU-A082,Boeing 777,Active,350
Falcon Cruiser,SU-A083,Boeing 737,Active,160
Falcon Runner,SU-A084,Airbus A330,Grounded,280
Falcon Spirit,SU-A085,Boeing 747,Standby,410
Falcon Arrow,SU-A086,Airbus A380,Active,520
Falcon Bird,SU-A087,Embraer E190,Active,100
Falcon One,SU-A088,Boeing 787,Active,240
Falcon Express,SU-A089,Airbus A350,Maintenance,300
Falcon Explorer,SU-A090,Bombardier CRJ900,Active,90
Eagle Jet,SU-A091,Airbus A320,Standby,180
Eagle Wing,SU-A092,Boeing 777,Active,350
Eagle Cruiser,SU-A093,Boeing 737,Active,160
Eagle Runner,SU-A094,Airbus A330,Active,280
Eagle Spirit,SU-A095,Boeing 747,Active,410
Eagle Arrow,SU-A096,Airbus A380,Maintenance,520
Eagle Bird,SU-A097,Embraer E190,Active,100
Eagle One,SU-A098,Boeing 787,Active,240
Eagle Express,SU-A099,Airbus A350,Active,300
Eagle Explorer,SU-A100,Bombardier CRJ900,Grounded,90
Nova Jet,SU-A101,Airbus A320,Active,180
Nova Wing,SU-A102,Boeing 777,Active,350
Nova Cruiser,SU-A103,Boeing 737,Active,160
Nova Runner,SU-A104,Airbus A330,Active,280
Nova Spirit,SU-A105,Boeing 747,Maintenance,410
Nova Arrow,SU-A106,Airbus A380,Active,520
Nova Bird,SU-A107,Embraer E190,Standby,100
Nova One,SU-A108,Boeing 787,Active,240
Nova Express,SU-A109,Airbus A350,Active,300
Nova Explorer,SU-A110,Bombardier CRJ900,Active,90
Apex Jet,SU-A111,Airbus A320,Active,180
Apex Wing,SU-A112,Boeing 777,Standby,350
Apex Cruiser,SU-A113,Boeing 737,Active,160
Apex Runner,SU-A114,Airbus A330,Active,280
Apex Spirit,SU-A115,Boeing 747,Active,410
Apex Arrow,SU-A116,Airbus A380,Grounded,520
Apex Bird,SU-A117,Embraer E190,Active,100
Apex One,SU-A118,Boeing 787,Maintenance,240
Apex Express,SU-A119,Airbus A350,Active,300
Apex Explorer,SU-A120,Bombardier CRJ900,Active,90
Crown Jet,SU-A121,Airbus A320,Grounded,180
Crown Wing,SU-A122,Boeing 777,Active,350
Crown Cruiser,SU-A123,Boeing 737,Active,160
Crown Runner,SU-A124,Airbus A330,Active,280
Crown Spirit,SU-A125,Boeing 747,Active,410
Crown Arrow,SU-A126,Airbus A380,Standby,520
Crown Bird,SU-A127,Embraer E190,Maintenance,100
Crown One,SU-A128,Boeing 787,Active,240
Crown Express,SU-A129,Airbus A350,Active,300
Crown Explorer,SU-A130,Bombardier CRJ900,Active,90
Royal Jet,SU-A131,Airbus A320,Active,180
Royal Wing,SU-A132,Boeing 777,Active,350
Royal Cruiser,SU-A133,Boeing 737,Maintenance,160
Royal Runner,SU-A134,Airbus A330,Standby,280
Royal Spirit,SU-A135,Boeing 747,Active,410
Royal Arrow,SU-A136,Airbus A380,Active,520
Royal Bird,SU-A137,Embraer E190,Active,100
Royal One,SU-A138,Boeing 787,Active,240
Royal Express,SU-A139,Airbus A350,Grounded,300
Royal Explorer,SU-A140,Bombardier CRJ900,Active,90
Silver Jet,SU-A141,Airbus A320,Active,180
Silver Wing,SU-A142,Boeing 777,Grounded,350
Silver Cruiser,SU-A143,Boeing 737,Active,160
Silver Runner,SU-A144,Airbus A330,Active,280
Silver Spirit,SU-A145,Boeing 747,Active,410
Silver Arrow,SU-A146,Airbus A380,Maintenance,520
Silver Bird,SU-A147,Embraer E190,Active,100
Silver One,SU-A148,Boeing 787,Standby,240
Silver Express,SU-A149,Airbus A350,Active,300
Silver Explorer,SU-A150,Bombardier CRJ900,Active,90
Golden Jet,SU-A151,Airbus A320,Active,180
Golden Wing,SU-A152,Boeing 777,Active,350
Golden Cruiser,SU-A153,Boeing 737,Active,160
Golden Runner,SU-A154,Airbus A330,Maintenance,280
Golden Spirit,SU-A155,Boeing 747,Grounded,410
Golden Arrow,SU-A156,Airbus A380,Active,520
Golden Bird,SU-A157,Embraer E190,Active,100
Golden One,SU-A158,Boeing 787,Active,240
Golden Express,SU-A159,Airbus A350,Standby,300
Golden Explorer,SU-A160,Bombardier CRJ900,Active,90
Crystal Jet,SU-A161,Airbus A320,Active,180
Crystal Wing,SU-A162,Boeing 777,Active,350
Crystal Cruiser,SU-A163,Boeing 737,Standby,160
Crystal Runner,SU-A164,Airbus A330,Active,280
Crystal Spirit,SU-A165,Boeing 747,Active,410
Crystal Arrow,SU-A166,Airbus A380,Active,520
Crystal Bird,SU-A167,Embraer E190,Grounded,100
Crystal One,SU-A168,Boeing 787,Maintenance,240
Crystal Express,SU-A169,Airbus A350,Active,300
Crystal Explorer,SU-A170,Bombardier CRJ900,Active,90
Diamond Jet,SU-A171,Airbus A320,Maintenance,180
Diamond Wing,SU-A172,Boeing 777,Active,350
Diamond Cruiser,SU-A173,Boeing 737,Active,160
Diamond Runner,SU-A174,Airbus A330,Active,280
Diamond Spirit,SU-A175,Boeing 747,Active,410
Diamond Arrow,SU-A176,Airbus A380,Standby,520
Diamond Bird,SU-A177,Embraer E190,Active,100
Diamond One,SU-A178,Boeing 787,Active,240
Diamond Express,SU-A179,Airbus A350,Active,300
Diamond Explorer,SU-A180,Bombardier CRJ900,Grounded,90
Platinum Jet,SU-A181,Airbus A320,Active,180
Platinum Wing,SU-A182,Boeing 777,Active,350
Platinum Cruiser,SU-A183,Boeing 737,Maintenance,160
Platinum Runner,SU-A184,Airbus A330,Grounded,280
Platinum Spirit,SU-A185,Boeing 747,Active,410
Platinum Arrow,SU-A186,Airbus A380,Active,520
Platinum Bird,SU-A187,Embraer E190,Standby,100
Platinum One,SU-A188,Boeing 787,Active,240
Platinum Express,SU-A189,Airbus A350,Active,300
Platinum Explorer,SU-A190,Bombardier CRJ900,Active,90
Quantum Jet,SU-A191,Airbus A320,Active,180
Quantum Wing,SU-A192,Boeing 777,Standby,350
Quantum Cruiser,SU-A193,Boeing 737,Active,160
Quantum Runner,SU-A194,Airbus A330,Active,280
Quantum Spirit,SU-A195,Boeing 747,Maintenance,410
Quantum Arrow,SU-A196,Airbus A380,Active,520
Quantum Bird,SU-A197,Embraer E190,Active,100
Quantum One,SU-A198,Boeing 787,Grounded,240
Quantum Express,SU-A199,Airbus A350,Active,300
Quantum Explorer,SU-A200,Bombardier CRJ900,Active,90
Liberty Jet,N101US,Airbus A320,Active,180
Pacific Cruiser,N102US,Boeing 777,Active,350
Grand Canyon,N103US,Boeing 737,Maintenance,160
New York Spirit,N104US,Airbus A330,Active,280
Golden Gate,N105US,Boeing 747,Standby,410
Apollo Wing,N106US,Airbus A380,Active,520
Texas Star,N107US,Embraer E190,Active,100
Miami Breeze,N108US,Boeing 787,Grounded,240
Seattle Express,N109US,Airbus A350,Active,300
Dakota Runner,N110US,Bombardier CRJ900,Active,90
Boston Clipper,N111US,Airbus A320,Active,180
Vegas Light,N112US,Boeing 777,Maintenance,350
Colorado Peak,N113US,Boeing 737,Active,160
Chicago Wind,N114US,Airbus A330,Active,280
Hawaiian Sun,N115US,Boeing 747,Active,410
Alaska Frost,N116US,Airbus A380,Standby,520
Route 66,N117US,Embraer E190,Active,100
Empire State,N118US,Boeing 787,Active,240
Silicon Valley,N119US,Airbus A350,Grounded,300
Liberty Bell,N120US,Bombardier CRJ900,Active,90
Thames Clipper,G-UK01,Airbus A320,Active,180
London Eye,G-UK02,Boeing 777,Active,350
Highland Bird,G-UK03,Boeing 737,Maintenance,160
Celtic Runner,G-UK04,Airbus A330,Active,280
Windsor Castle,G-UK05,Boeing 747,Standby,410
Britannia One,G-UK06,Airbus A380,Active,520
Oxford Scholar,G-UK07,Embraer E190,Active,100
Cambridge Blue,G-UK08,Boeing 787,Active,240
Sherwood Oak,G-UK09,Airbus A350,Active,300
Stonehenge,G-UK10,Bombardier CRJ900,Maintenance,90
Avon River,G-UK11,Airbus A320,Active,180
Victoria Crown,G-UK12,Boeing 777,Active,350
Edinburgh Peak,G-UK13,Boeing 737,Active,160
Welsh Dragon,G-UK14,Airbus A330,Active,280
Belfast Giant,G-UK15,Boeing 747,Standby,410
Cornwall Surf,G-UK16,Airbus A380,Active,520
Yorkshire Rose,G-UK17,Embraer E190,Grounded,100
Tudor Rose,G-UK18,Boeing 787,Active,240
Bristol Rover,G-UK19,Airbus A350,Active,300
Manchester Bee,G-UK20,Bombardier CRJ900,Active,90
Alpine Spirit,D-GER1,Airbus A320,Maintenance,180
Bavarian Sky,D-GER2,Boeing 777,Active,350
Berlin Bear,D-GER3,Boeing 737,Active,160
Rhine River,D-GER4,Airbus A330,Active,280
Black Forest,D-GER5,Boeing 747,Standby,410
Munich Star,D-GER6,Airbus A380,Active,520
Frankfurt Hub,D-GER7,Embraer E190,Active,100
Hamburg Port,D-GER8,Boeing 787,Grounded,240
Cologne Dome,D-GER9,Airbus A350,Active,300
Saxon King,D-GER0,Bombardier CRJ900,Active,90
Desert Falcon,A6-UAE1,Airbus A320,Active,180
Dubai Pearl,A6-UAE2,Boeing 777,Maintenance,350
Abu Dhabi Sun,A6-UAE3,Boeing 737,Active,160
Sharjah Oasis,A6-UAE4,Airbus A330,Active,280
Arabian Knight,A6-UAE5,Boeing 747,Active,410
Gulf Stream,A6-UAE6,Airbus A380,Standby,520
Emirates Pride,A6-UAE7,Embraer E190,Active,100
Zayed Vision,A6-UAE8,Boeing 787,Active,240
Jumeirah Sand,A6-UAE9,Airbus A350,Active,300
Yas Marina,A6-UAE0,Bombardier CRJ900,Maintenance,90
Riviera Cruiser,F-FRA1,Airbus A320,Active,180
Parisian Light,F-FRA2,Boeing 777,Active,350
Eiffel Tower,F-FRA3,Boeing 737,Active,160
Mont Blanc,F-FRA4,Airbus A330,Maintenance,280
Loire Valley,F-FRA5,Boeing 747,Standby,410
Normandy Shore,F-FRA6,Airbus A380,Active,520
Bordeaux Vine,F-FRA7,Embraer E190,Active,100
Corsica Breeze,F-FRA8,Boeing 787,Active,240
Lyon Silk,F-FRA9,Airbus A350,Grounded,300
Marseille Port,F-FRA0,Bombardier CRJ900,Active,90
Sakura Bird,JA-JPN1,Airbus A320,Active,180
Mount Fuji,JA-JPN2,Boeing 777,Active,350
Tokyo Neon,JA-JPN3,Boeing 737,Standby,160
Kyoto Temple,JA-JPN4,Airbus A330,Active,280
Osaka Castle,JA-JPN5,Boeing 747,Active,410
Hokkaido Snow,JA-JPN6,Airbus A380,Active,520
Okinawa Sun,JA-JPN7,Embraer E190,Maintenance,100
Samurai Blade,JA-JPN8,Boeing 787,Active,240
Ninja Shadow,JA-JPN9,Airbus A350,Active,300
Shinkansen,JA-JPN0,Bombardier CRJ900,Active,90
Outback Explorer,VH-AUS1,Airbus A320,Active,180
Sydney Harbor,VH-AUS2,Boeing 777,Active,350
Kangaroo Paw,VH-AUS3,Boeing 737,Active,160
Melbourne Tram,VH-AUS4,Airbus A330,Grounded,280
Coral Reef,VH-AUS5,Boeing 747,Standby,410
Gold Coast,VH-AUS6,Airbus A380,Active,520
Tasmanian Devil,VH-AUS7,Embraer E190,Active,100
Ayers Rock,VH-AUS8,Boeing 787,Active,240
Perth Sunset,VH-AUS9,Airbus A350,Maintenance,300
Brisbane River,VH-AUS0,Bombardier CRJ900,Active,90
Maple Leaf,C-CAN1,Airbus A320,Standby,180
Rocky Mountain,C-CAN2,Boeing 777,Active,350
Niagara Falls,C-CAN3,Boeing 737,Active,160
Toronto Tower,C-CAN4,Airbus A330,Active,280
Vancouver Rain,C-CAN5,Boeing 747,Active,410
Montreal Jazz,C-CAN6,Airbus A380,Maintenance,520
Polar Bear,C-CAN7,Embraer E190,Active,100
Quebec Winter,C-CAN8,Boeing 787,Active,240
Ottawa Spring,C-CAN9,Airbus A350,Active,300
Calgary Stampede,C-CAN0,Bombardier CRJ900,Grounded,90
Great Wall,B-CHN1,Airbus A320,Active,180
Dragon Wing,B-CHN2,Boeing 777,Active,350
Panda Bear,B-CHN3,Boeing 737,Active,160
Beijing Lantern,B-CHN4,Airbus A330,Active,280
Shanghai Pearl,B-CHN5,Boeing 747,Maintenance,410
Yellow River,B-CHN6,Airbus A380,Active,520
Silk Road,B-CHN7,Embraer E190,Standby,100
Terracotta Army,B-CHN8,Boeing 787,Active,240
Macau Lotus,B-CHN9,Airbus A350,Active,300
Hong Kong Peak,B-CHN0,Bombardier CRJ900,Active,90
Nile Falcon,SU-EGY1,Airbus A320,Active,180
Sphinx One,SU-EGY2,Boeing 777,Standby,350
Red Sea Star,SU-EGY3,Boeing 737,Active,160
Cairo Express,SU-EGY4,Airbus A330,Active,280
Desert Eagle,SU-EGY5,Boeing 747,Active,410
Pharaoh Wing,SU-EGY6,Airbus A380,Grounded,520
Alexandria Pearl,SU-EGY7,Embraer E190,Active,100
Riyadh Palace,HZ-SAU1,Boeing 787,Maintenance,240
Mecca Clock,HZ-SAU2,Airbus A350,Active,300
Jeddah Fountain,HZ-SAU3,Bombardier CRJ900,Active,90
Merlion Jet,9V-SIN1,Airbus A320,Grounded,180
Marina Bay,9V-SIN2,Boeing 777,Active,350
Orchid Bloom,9V-SIN3,Boeing 737,Active,160
Changi Hub,9V-SIN4,Airbus A330,Active,280
Sentosa Island,9V-SIN5,Boeing 747,Active,410
Tulip Field,PH-NED1,Airbus A380,Standby,520
Windmill Blade,PH-NED2,Embraer E190,Maintenance,100
Amsterdam Canal,PH-NED3,Boeing 787,Active,240
Dutch Crown,PH-NED4,Airbus A350,Active,300
Orange Pride,PH-NED5,Bombardier CRJ900,Active,90
Swiss Alp,HB-SWI1,Airbus A320,Active,180
Geneva Lake,HB-SWI2,Boeing 777,Active,350
Zurich Clock,HB-SWI3,Boeing 737,Maintenance,160
Matterhorn Peak,HB-SWI4,Airbus A330,Standby,280
Lucerne Lion,HB-SWI5,Boeing 747,Active,410
Roman Colosseum,I-ITA1,Airbus A380,Active,520
Venice Gondola,I-ITA2,Embraer E190,Active,100
Milan Fashion,I-ITA3,Boeing 787,Active,240
Florence Art,I-ITA4,Airbus A350,Grounded,300
Naples Sun,I-ITA5,Bombardier CRJ900,Active,90
Madrid Plaza,EC-SPA1,Airbus A320,Active,180
Barcelona Gaudi,EC-SPA2,Boeing 777,Active,350
Seville Orange,EC-SPA3,Boeing 737,Active,160
Ibiza Wave,EC-SPA4,Airbus A330,Maintenance,280
Canary Island,EC-SPA5,Boeing 747,Grounded,410
Taj Mahal,VT-IND1,Airbus A380,Active,520
Mumbai Gateway,VT-IND2,Embraer E190,Active,100
Delhi Lotus,VT-IND3,Boeing 787,Active,240
Bengal Tiger,VT-IND4,Airbus A350,Standby,300
Kerala Spice,VT-IND5,Bombardier CRJ900,Active,90
Amazon Forest,PR-BRA1,Airbus A320,Active,180
Rio Carnival,PR-BRA2,Boeing 777,Active,350
Christ Redeemer,PR-BRA3,Boeing 737,Standby,160
Sao Paulo Skyscraper,PR-BRA4,Airbus A330,Active,280
Iguazu Falls,PR-BRA5,Boeing 747,Active,410
Cape Town Table,ZS-RSA1,Airbus A380,Active,520
Kruger Lion,ZS-RSA2,Embraer E190,Grounded,100
Johannesburg Gold,ZS-RSA3,Boeing 787,Maintenance,240
Savannah Runner,ZS-RSA4,Airbus A350,Active,300
Durban Wave,ZS-RSA5,Bombardier CRJ900,Active,90
Kiwi Flight,ZK-NZL1,Airbus A320,Maintenance,180
Auckland Sail,ZK-NZL2,Boeing 777,Active,350
Wellington Wind,ZK-NZL3,Boeing 737,Active,160
Fjord Explorer,ZK-NZL4,Airbus A330,Active,280
Hobbiton Hill,ZK-NZL5,Boeing 747,Active,410
Nordic Star,LN-NOR1,Airbus A380,Standby,520
Oslo Fjord,LN-NOR2,Embraer E190,Active,100
Viking Shield,LN-NOR3,Boeing 787,Active,240
Aurora Borealis,LN-NOR4,Airbus A350,Active,300
Midnight Sun,LN-NOR5,Bombardier CRJ900,Grounded,90
Aegean Sea,SX-GRE1,Airbus A320,Active,180
Athens Parthenon,SX-GRE2,Boeing 777,Active,350
Santorini White,SX-GRE3,Boeing 737,Maintenance,160
Olympus God,SX-GRE4,Airbus A330,Grounded,280
Crete Minoan,SX-GRE5,Boeing 747,Active,410
Istanbul Bosphorus,TC-TUR1,Airbus A380,Active,520
Cappadocia Balloon,TC-TUR2,Embraer E190,Standby,100
Ankara Castle,TC-TUR3,Boeing 787,Active,240
Izmir Olive,TC-TUR4,Airbus A350,Active,300
Antalya Beach,TC-TUR5,Bombardier CRJ900,Active,90
Casablanca Jet,CN-MAR1,Airbus A320,Active,180
Atlas Mountain,CN-MAR2,Boeing 777,Standby,350
Marrakech Souk,CN-MAR3,Boeing 737,Active,160
Sahara Sand,CN-MAR4,Airbus A330,Active,280
Rabat Palace,CN-MAR5,Boeing 747,Maintenance,410
Seoul Tower,HL-KOR1,Airbus A380,Active,520
Busan Port,HL-KOR2,Embraer E190,Active,100
Jeju Island,HL-KOR3,Boeing 787,Grounded,240
Han River,HL-KOR4,Airbus A350,Active,300
K-Pop Star,HL-KOR5,Bombardier CRJ900,Active,90
